CID,CD_DESCRICAO
M628,Outr transt musculares espec
T002,Traum superf envolv reg mult membros super
W296,Areas industriais e em construcao
Y836,Remocao de um outr orgao
C448,Lesao invasiva da pele
S700,Contusao do quadril
Y424,Anticoncepcionais orais
G718,Outr transt prim dos musculos
X39,Exposicao a outr forcas da natureza e as NE
L248,Dermatite contato p/irrit dev outr agentes
Y05,Agressao sexual p/meio de forca fisica
N802,Endometriose da trompa de Falopio
Y211,Habitacao coletiva
O99,Outr doenc mat COP compl grav parto puerp
Z423,Seguim envolv cirurg plast extrem super
R843,Nivel anormal subst orig essenc nao medic
E630,Defic de acido graxo essencial
T57,Efeito toxico de outr subst inorganicas
N74,Transt inflam da pelve femin em doenc COP
Y903,Alcoolemia de 60-79 mg/100ml
S080,Avulsao do couro cabeludo
E672,Sindr de megavitamina B6
W174,Rua e estrada
I132,Doenc card renal hipert c/insuf card e renal
I708,Aterosclerose de outr arterias
M798,Outr transt espec dos tec moles
C169,Estomago NE
A178,Outr tuberc do sist nervoso
V585,Condutor acid trans
Q12,Malformacoes congen do cristalino
X589,Local NE
Q761,Sindr de Klippel-Feil
I616,Hemorragia intracerebral de mult localiz
V629,Ocupante NE acid trans
X027,Fazenda
G934,Encefalopatia NE
S257,Traum de mult vasos sanguineos do torax
S77,Lesao p/esmag do quadril e da coxa
W780,Residencia
X989,Local NE
X237,Fazenda
K002,Anomalias do tamanho e da form dos dentes
A503,Oculopatia sifilitica congen tard
X920,Residencia
W883,Area p/a pratica de esportes e atletismo
Q31,Malformacoes congen da laringe
A55,Linfogranuloma p/clamidia
M330,Dermatomiosite juvenil
N399,Transt NE do aparelho urinario
H031,Compr da palpebra em outr doenc infecc COP
D595,Hemoglobinuria paroxistica noturna
Z470,Seguim env rem placa frat outr disp fix int
H540,Cegueira ambos os olhos
I309,Pericardite aguda NE
I809,Flebite e tromboflebite de localiz NE
X397,Fazenda
H202,Iridociclite induz p/cristalino
P51,Hemorragia umbilical do recem-nascido
Y242,Escolas outr instit areas admin publica
K514,Pseudopolipose do colon
E731,Defic secund de lactase
Q56,Sexo indeterminado e pseudo-hermafroditismo
L52,Eritema nodoso
S320,Frat de vertebra lombar
E132,C/compl renais
L83,Acantose nigricans
M075,Artropatia na colite ulcerativa
G110,Ataxia congen nao-progressiva
M433,Subluxacao atlanto-axial recidiv mielopatia
G95,Outr doenc da medula espinal
V892,Acid trans veic mot NE
F170,Intox aguda
X196,Areas industriais e em construcao
Z768,Cont serv saude p/outr circunstancias espec
Z355,Supervisao de primigesta idosa
H933,Transt do nervo acustico
I271,Cardiopatia cifoescoliotica
X353,Area p/a pratica de esportes e atletismo
Y32,Impacto veic a motor intenc nao determinada
L949,Afeccoes localizadas do tec conjuntivo NE
G64,Outr transt do sist nervoso periferico
J86,Piotorax
Y832,Interv cirurg anastomose deriv ou enxerto
Y368,Oper guerra ocorr apos cessacao hostilidades
M803,Osteoporose ma-absorc pos-cirurg frat patol
E169,Transt NE da secrecao pancreatica interna
D374,Colons
K593,Megacolon NCOP
R011,Sopro cardiaco NE
W436,Areas industriais e em construcao
F228,Outr transt delirantes persistentes
B363,Piedra negra
Z638,Outr probl espec relac grupo prim de suporte
Y426,Antigonadotrof antiestrog antiandrog NCOP
W04,Queda enquanto carreg apoiado p/outr pessoas
V161,Passageiro em acid n-trans
N019,NE
Z803,Historia familiar de neoplasia de mama
E838,Outr disturbios do metabolismo mineral
C26,Neopl malig outr mal def aparelho digestivo
G418,Outr estados de mal epileptico
C882,Doenc de cadeia pesada gama
I318,Outr doenc espec do pericardio
X131,Habitacao coletiva
B387,Coccidioidomicose disseminada
B17,Outr hepatites virais agudas
W534,Rua e estrada
Q323,Estenose congen dos bronquios
S45,Traum dos vasos sanguineos nivel ombro braco
T925,Sequelas traum musculo tendao membro super
N25,Transt result funcao renal tubular alterada
H108,Outr conjuntivites
W188,Outr locais espec
N039,NE
K038,Outr doenc espec dos tec duros dos dentes
Y356,Intervencao legal envolv uso outr meio espec
L932,Outr form de lupus eritematoso localizado
T833,Complic mecanica de disp intra-uterino
C062,Area retromolar
R784,Presenca outr drog potenc caus depend sangue
L408,Outr form de psoriase
K231,Megaesofago na doenc de Chagas
Y131,Habitacao coletiva
L70,Acne
T750,Efeitos do raio
V71,Ocup onibus traum colis veic a pedal
Q690,Dedos da mao supranumerarios
B302,Faringoconjuntivite viral
L661,Liquen planopilar
C44,Outr neopl malig da pele
I890,Linfedema NCOP
J660,Bissinose
Z049,Exame e observacao p/razao NE
T403,Metadona
Z943,Coracao e pulmoes transplantados
D224,Nevo melanocitico couro cabeludo e pescoco
W748,Outr locais espec
T297,Corrosoes mult menc ao menos corros 3.grau
R073,Outr dor toracica
J952,Insuf pulm aguda subseq cirurg nao toracica
H812,Neuronite vestibular
B353,Tinha dos pes
Z441,Colocacao e ajustamento de perna artificial
Y234,Rua e estrada
Z36,Rastr pre-natal
Y287,Fazenda
E041,Bocio nao-toxico uninodular
C540,Istmo do utero
I269,Embolia pulmonar s/menc cor pulmonale agudo
V377,Pessoa viajando ext veic acid trans
L744,Anidrose
C112,Parede lateral da nasofaringe
Q069,Malformacao congen NE da medula espinal
I880,Linfadenite mesenterica nao especifica
X450,Residencia
P10,Laceracao intracran hemorrag dev traum parto
Y365,Oper guerra envolv armamento nuclear
V783,Ocupante NE acid n-trans
J431,Enfisema panlobular
Z44,Coloc ajust aparelhos de protese externa
H508,Outr estrabismos espec
O073,Falha aborto prov raz medic outr complic NE
T539,Deriv halog hidrocarbonetos alifat aromat NE
D696,Trombocitopenia NE
O842,Parto mult todos p/cesariana
G580,Neuropatia intercostal
S669,Traum musculo e tendao NE nivel punho e mao
D739,Doenc NE do baco
V706,Passageiro acid trans
G81,Hemiplegia
H47,Outr transt do nervo optico e vias opticas
O91,Infecc mamarias assoc ao parto
O812,Forceps da cavidade mediana c/rotacao
L449,Afeccoes papulo-descamativas NE
K091,Cistos de desenvolv da regiao bucal
K745,Cirrose biliar SOE
Y011,Habitacao coletiva
J15,Pneumonia bacter NCOP
X667,Fazenda
Y005,Areas de comercio e de servicos
R461,Aparencia pessoal bizarra
A515,Sifilis precoce latente
O468,Outr form de hemorragia anteparto
S069,Traum intracraniano NE
F024,Demencia na doenc do HIV
Q107,Malformacao congen da orbita
X501,Habitacao coletiva
Z81,Historia familiar transt mentais e comport
S742,Traum nervo sensit cutaneo niv quadril coxa
L631,Alopecia universal
G112,Ataxia cerebelar de inicio tard
X720,Residencia
P58,Ictericia neonatal dev outr hemolises excess
A85,Outr encefalites virais NCOP
S323,Frat do ilio
W217,Fazenda
F39,Transt do humor NE
X362,Escolas outr instit areas admin publica
C696,Orbita
S682,Amput traum de dois ou mais dedos somente
K35,Apendicite aguda
Y130,Residencia
W251,Habitacao coletiva
D379,Orgao digestivo NE
B449,Aspergilose NE
Y763,Instrumentos materiais aparelhos cirurgicos
K717,Doenc hepat toxica c/fibrose e cirrose hepat
B356,Tinea cruris
N831,Cisto do corpo luteo
O905,Tireoidite do pos-parto
V416,Passageiro acid trans
J17,Pneumonia em doenc COP
W295,Areas de comercio e de servicos
S698,Outr traum espec do punho e da mao
M812,Osteoporose de desuso
S019,Ferim na cabeca parte NE
Z464,Colocacao e ajustamento aparelho ortodontico
X24,Contato c/centopeias e miriapodes venenosas
S280,Esmag do torax
T610,Intox p/peixe ciguatera
W771,Habitacao coletiva
X504,Rua e estrada
I211,Infarto agudo transmural parede inf miocard
F230,Transt psicot agudo polimorf s/sint esquizof
N952,Vaginite atrofica pos-menopausa
S361,Traum do figado ou da vesicula biliar
C952,Leucemia subaguda de tipo celular NE
S581,Amput traum antebraco entre cotovelo punho
D862,Sarcoidose pulmao c/sarcoidose gangl linfat
J841,Outr doenc pulm intersticiais c/fibrose
X704,Rua e estrada
H271,Deslocamento do cristalino
G02,Meningite em outr doenc infecc e parasit COP
K903,Esteatorreia pancreatica
R770,Anormalidade da albumina
D513,Outr anemias p/defic vitamina B12 na dieta
F701,Compr signif comport req vigilancia ou trat
T043,Traum p/esmag envolv regioes mult membr inf
V215,Passageiro acid trans
T288,Corrosao de orgaos geniturinarios internos
C689,Orgao urinario NE
V422,Pessoa viajando ext veic acid n-trans
Z50,Cuidados envolv uso proced de reabilitacao
M233,Outr transt do menisco
F606,Personalidade ansiosa
M763,Sindr da faixa iliotibial
Z993,Dependencia de cadeira de rodas
T861,Falencia ou rejeicao de transplante de rim
V761,Passageiro acid n-trans
H100,Conjuntivite mucopurulenta
W289,Local NE
E162,Hipoglicemia NE
Z712,Pessoa que consulta p/explic achados exame
F521,Aversao sexual e ausencia de prazer sexual
R96,Outr mortes subitas de causa desconhecida
D568,Outr talassemias
B701,Esparganose
B18,Hepatite viral cronica
Z655,Exposicao catastrofe guerra e outr hostilid
E11,Diabetes mellitus nao-insulino-dependemte
K572,Doenc divert intest grosso c/perfur abscesso
P234,Pneumonia congen dev Escherichia coli
C349,Bronquios ou pulmoes NE
T780,Choque anafilatico dev intolerancia alim
V357,Pessoa viajando ext veic acid trans
T909,Sequelas de traum NE da cabeca
W456,Areas industriais e em construcao
K053,Periodontite cronica
L440,Pitiriase rubra pilar
D530,Anemia p/defic de proteinas
S481,Amput traum de localiz entre ombro cotovelo
H210,Hifema
M706,Bursite trocanterica
N701,Salpingite e ooforite cronicas
K761,Congestao passiva cronica do figado
D010,Colon
Q201,Ventriculo direito c/dupla via de saida
S957,Traum mult vasos sang nivel tornozelo e pe
S96,Traum musculo e tendao nivel tornozelo e pe
W845,Areas de comercio e de servicos
N073,Glomerulonefrite prolifer mesangial difusa
W318,Outr locais espec
A59,Tricomoniase
Y411,Drogas antimicobacterianas
K021,Caries da dentina
P916,Encefalopatia hipóxico-isquêmica do recém-nascido
S078,Lesao p/esmag de outr partes da cabeca
W440,Residencia
X379,Local NE
Z115,Exame especial rastr outr doenc virais
V669,Ocupante NE acid trans
F15,Transt ment comp uso outr estim incl cafeina
K732,Hepatite cronica ativa NCOP
Z843,Historia familiar de consanguinidade
M138,Outr artrites espec
O020,Ovo claro e mola nao-hidatiforme
V79,Ocup onibus traum outr acid transp e NE
X675,Areas de comercio e de servicos
T134,Traum vaso sang NE membro infer nivel NE
T365,Aminoglicosideos
A00,Colera
V444,Pessoa ao subir ou descer do veic
Q712,Ausencia congen do antebraco e da mao
A53,Outr form e as NE da sifilis
Z015,Testes cutaneos de diagn e sensibilizacao
T479,Subst NE que atua prim s/ap gastrointestinal
E200,Hipoparatireoidismo idiopatico
Q81,Epidermolise bolhosa
V321,Passageiro acid n-trans
Y579,Droga e medicamento NE
N848,Polipo de outr partes do trato genital femin
W074,Rua e estrada
K810,Colecistite aguda
G811,Hemiplegia espastica
M994,Estenose de tec conjuntivo do canal medular
P241,Aspiracao neonatal liquido amniotico e muco
X861,Habitacao coletiva
L104,Penfigo eritematoso
Q262,Comunicacao venosa pulmonar anormal total
M239,Transt interno NE do joelho
I447,Bloqueio de ramo esquerdo NE
J050,Laringite obstrutiva aguda
I981,Transt cardiovasc outr doenc inf parasit COP
X18,Contato c/outr metais quentes
F22,Transt delirantes persistentes
Q664,Pe torto calcaneovalgo
F171,Uso nocivo p/a saude
C78,Neopl malig secund org respirat e digestivos
N29,Outr transt do rim e do ureter em doenc COP
Q962,Cariotipo 46 X cromoss sex anorm salvo isso
Y027,Fazenda
J352,Hipertrofia das adenoides
E149,S/complic
C859,Linfoma nao-Hodgkin de tipo NE
C07,Neopl malig da gland parotida
R844,Achados imunologicos anormais
A163,Tuberc gangl intrat s/menc conf bact hist
Y333,Area p/a pratica de esportes e atletismo
B461,Mucormicose rinocerebral
T834,Complic mec out disp prot impl enx trat gen
A046,Enterite dev Yersinia enterocolitica
D280,Vulva
B376,Endocardite p/Candida
H404,Glaucoma secund a inflam ocular
E729,Disturbio NE do metabolismo dos aminoacidos
X748,Outr locais espec
C760,Cabeca face e pescoco
W064,Rua e estrada
W568,Outr locais espec
X325,Areas de comercio e de servicos
Q395,Dilatacao congen do esofago
V750,Condutor acid n-trans
X050,Residencia
D045,Pele do tronco
S390,Traum musculo e tendao abdome dorso e pelve
G569,Mononeuropatia dos membros super NE
H259,Catarata senil NE
P026,Fet rec-nasc afet outr afecc cordao umb NE
M252,Flail joint
Q130,Coloboma da iris
C792,Neopl malig secund da pele
M329,Lupus eritematoso disseminado NE
B24,Doenc p/HIV NE
T743,Abuso psicologico
T141,Ferim de regiao NE do corpo
K003,Dentes manchados
O03,Aborto espontaneo
Z531,Proc n real dev dec pac raz crenc grup press
Z802,Hist fam neopl malig outr org resp intrator
K298,Duodenite
W779,Local NE
O833,Parto de grav intra-abdominal feto viavel
X400,Residencia
B270,Mononucleose p/virus herpes gama
N302,Outr cistites cronicas
X618,Outr locais espec
V931,Navio de passageiros
B942,Sequelas de hepatite viral
D572,Transt falciformes heterozigoticos duplos
T382,Medicamentos antitireoidianos
L73,Outr afeccoes foliculares
T33,Geladura superf
E895,Hipofuncao testicular pos-proced
F340,Ciclotimia
V765,Condutor acid trans
G969,Transt NE do sist nervoso central
T71,Asfixia
Q72,Defeitos p/reducao do membro infer
T006,Traum superf envolv reg mult membr sup infer
E613,Defic de manganes
G031,Meningite cronica
Z973,Presenca de oculos e de lentes de contato
Q01,Encefalocele
V212,Motociclista NE traum acid n-trans
M718,Outr bursopatias espec
S508,Outr traum superf do antebraco
X749,Local NE
L721,Cisto triquilemal
V934,Barco a vela
S649,Traum de nervo NE ao nivel do punho e da mao
Y639,Erros dosagem prest cuid medico cirurgico NE
A068,Infecc amebiana de outr localiz
X09,Exposicao a tipo NE de fumos fogo ou chamas
S80,Traum superf da perna
S37,Traum de orgaos pelvicos
S510,Ferim do cotovelo
W12,Queda em ou de um andaime
N055,Glomerulonefrite mesangiocapilar difusa
K022,Carie do cemento
O028,Outr produtos anormais da concepcao espec
Z741,Necessidade de assist c/cuidados pessoais
D057,Outr carcinomas in situ
N641,Necrose gordurosa da mama
L405,Artropatia psoriasica
B941,Sequelas de encefalite viral
C168,Lesao invasiva do estomago
O749,Complic anest durante trab parto e parto NE
B530,Malaria p/Plasmodium ovale
H450,Hemorragia vitrea em doenc COP
Z642,Proc aceit interv fis nutr quim perig nociv
R930,Achados anorm ex diag imag cran cabeca NCOP
C84,Linfomas de celulas T cutaneas e perifericas
W105,Areas de comercio e de servicos
O460,Hemorragia anteparto c/defic de coagulacao
V854,Pessoa ao subir ou descer veic
W022,Escolas outr instit areas admin publica
Z31,Medidas de procriacao
R827,Achados anormais exame microbiologico urina
Q792,Exonfalia
P542,Hemorragia retal neonatal
T887,Efeito adverso NE de droga ou medicamento
F313,Trans afet bip epis atual depr leve/ moderad
I42,Cardiomiopatias
H043,Inflam aguda e NE dos canais lacrimais
A241,Melioidose aguda e fulminante
V834,Pessoa ao subir ou descer veic
R30,Dor assoc a miccao
L68,Hipertricose
X176,Areas industriais e em construcao
I509,Insuf cardiaca NE
F133,Sindr de abstinencia
I99,Outr transt do aparelho circulatorio e os NE
A013,Febre paratifoide C
X206,Areas industriais e em construcao
E87,Outr transt equil hidroeletr e acido-basic
L031,Celulite de outr partes de membros
I41,Miocardite em doenc COP
P743,Disturbios equilibrio potassio recem-nascido
E50,Defic de vitamina A
T213,Queim de 3.grau do tronco
N50,Outr transt dos orgaos genitais masc
I453,Bloqueio trifascicular
O712,Inversao do utero pos-parto
M090,Artrite juvenil na psoriase
G719,Transt muscular prim NE
D410,Rim
Y58,Vacinas bacter
V92,Afog submers rel transp agua s/acid embarc
N710,Doenc inflam aguda do utero
H053,Deform da orbita
F511,Hipersonia nao-organica
S469,Traum musculo tendao NE nivel ombro braco
W014,Rua e estrada
B018,Varicela c/outr complic
P38,Onfalite recem-nasc c/ou s/hemorragia leve
M809,Osteoporose NE c/frat patologica
V779,Ocupante NE acid trans
J342,Desvio do septo nasal
E531,Defic de piridoxina
Z753,Facilid saude nao disponiveis ou nao acess
O810,Parto p/forceps baixo
Q674,Outr deform congen cranio face e mandibula
S383,Amput traum outr part NE abdome dorso pelve
Y550,Ocitocicos
S642,Traum do nervo radial ao nivel punho e mao
Y636,Nao admin droga medic subst biolog necess
Q861,Sindr fetal dev hidantoina
C25,Neopl malig do pancreas
B600,Babesiose
T181,Corpo estranho no esofago
A187,Tuberc das supra-renais
K552,Angiodisplasia do colon
W760,Residencia
I789,Doenc NE dos capilares
W661,Habitacao coletiva
T098,Outr traum espec do tronco nivel NE
R83,Achados anormais liquido cefalorraquidiano
Y195,Areas de comercio e de servicos
S079,Lesao p/esmag da cabeca parte NE
V672,Pessoa viajando ext veic acid n-trans
M772,Periartrite do punho
M071,Artrite mutilante
H730,Miringite aguda
X97,Agressao p/meio de fumaca fogo e chamas
F109,Transt mental ou comport NE
H526,Outr transt da refracao
K314,Diverticulo gastrico
L852,Ceratose punctata
K273,Aguda s/hemorragia ou perfuracao
X040,Residencia
R70,Veloc hemossedim elev outr anorm visc plasm
F844,Transt c/hipercin ass ret ment mov estereot
N491,Transt infl cord esperm tunic vagin vas def
X816,Areas industriais e em construcao
T16,Corpo estranho no ouvido
V334,Pessoa ao subir ou descer do veic
N761,Vaginite subaguda e cronica
Y630,Admin quant excess sang outr liq transf inf
V04,Pedestre traum colis veic transp pesado onib
R392,Uremia extra-renal
A309,Hanseniase NE
R858,Outr achados anormais
X990,Residencia
T175,Corpo estranho no bronquio
D00,Carcimona in situ cav oral esofago estomago
C942,Leucemia megacarioblastica aguda
Q339,Malformacao congen NE do pulmao
V707,Pessoa viajando ext veic acid trans
A09,Diarreia e gastroenterite orig infecc presum
Q971,Mulher c/mais de tres cromossomos X
O864,Febre orig desconhecida subsequente ao parto
X854,Rua e estrada
B663,Fascioliase
R54,Senilidade
F661,Orientacao sexual egodistonica
K420,Hernia umbilical c/obstrucao s/gangrena
K08,Outr transt dentes e estrut de sustentacao
V551,Passageiro acid n-trans
Z887,Hist pessoal de alergia a soro e a vacina
H049,Transt NE do aparelho lacrimal
I31,Outr doenc do pericardio
X812,Escolas outr instit areas admin publica
D578,Outr transt falciformes
K113,Abscesso de gland salivar
A852,Encefalite p/virus transm p/artropodes NE
W840,Residencia
O71,Outr traum obstetricos
F848,Outr transt globais do desenvolv
Y285,Areas de comercio e de servicos
O234,Infecc NE do trato urinario na gravidez
F159,Transt mental ou comport NE
W835,Areas de comercio e de servicos
V260,Condutor acid n-trans
A370,Coqueluche p/Bordetella pertussis
M051,Doenc reumatoide do pulmao
L905,Cicatrizes e fibrose cutanea
O629,Anormalidades da contracao uterina NE
S211,Ferim da parede anterior do torax
N281,Cisto do rim adquir
Y363,Oper guerra envolv incend fogo subst quentes
R872,Nivel anormal outr drog medic subst biolog
F638,Outr transt dos habitos e dos impulsos
X305,Areas de comercio e de servicos
H749,Transt NE do ouvido medio e da mastoide
Z832,Hist fam doenc sang org hemat transt imunit
B851,Pediculose dev Pediculus humanus corporis
L931,Lupus eritematoso cutaneo subagudo
O347,Assist prest mae p/anorm da vulva e perineo
F339,Transt depressivo recorrente s/especificacao
W424,Rua e estrada
O342,Assist prest mae cicatriz uterina cirurg ant
W175,Areas de comercio e de servicos
V835,Condutor acid n-trans
D519,Anemia p/defic de vitamina B12 NE
T788,Outr efeitos adversos NCOP
S960,Traum musc tend musc flex long artel torn pe
H623,Otite externa outr doenc infecc parasit COP
V751,Passageiro acid n-trans
D445,Gland pineal
V12,Ciclista traum colis veic motor 2 3 rodas
V690,Condutor colis outr veic NE mot acid n-trans
R854,Achados imunologicos anormais
T022,Frat envolv regioes mult de um membro super
Y302,Escolas outr instit areas admin publica
V637,Pessoa viajando ext veic acid trans
Q825,Nevo nao-neoplasico congen
K738,Outr hepatites cronicas NCOP
F95,Tiques
O87,Complic venosas no puerperio
I980,Sifilis cardiovascular
I369,Transt nao-reumaticos da valva tricuspide NE
O925,Suspensao da lactacao
I391,Transt da valva aortica em doenc COP
R293,Postura anormal
N037,Glomerulonefrite difusa em crescente
D376,Figado vesicula biliar e vias biliares
Q232,Estenose mitral congen
Y401,Cefalosporinas e outr betalactaminas
F220,Transt delirante
Y802,Proteses outr impl incl materiais acessorios
J704,Transt pulm intersticial NE induz p/droga
H334,Descolamento da retina p/tracao
W766,Areas industriais e em construcao
A302,Hanseniase tuberculoide borderline
P128,Outr lesoes couro cabeludo dev traum parto
Q184,Macrostomia
I744,Embolia e trombose de arterias membros NE
A24,Mormo e melioidose
G25,Outr doenc extrapiramidais transt movimentos
Z615,Probl rel abus sex crianca p/pess  fora grup
J701,Manif pulmonares cron e outr dev radiacao
T428,Drog antipark outr depress centr tonus musc
D392,Placenta
T60,Efeito toxico de pesticidas
X502,Escolas outr instit areas admin publica
Y266,Areas industriais e em construcao
Q187,Microqueilia
S601,Contusao de dedos c/lesao da unha
C411,Mandibula
F94,Transt func soc c/inicio infancia adolesc
P034,Fet rec-nasc afetados p/parto p/cesariana
L259,Dermatite de contato NE de causa NE
D06,Carcinoma in situ do colo do utero
W443,Area p/a pratica de esportes e atletismo
W653,Area p/a pratica de esportes e atletismo
V472,Pessoa viajando ext veic acid n-trans
D581,Eliptocitose hereditaria
G45,Acid vasc cerebr isquemicos trans sindr corr
V296,Motocicl NE colis out veic NE mot acid trans
Q437,Persistencia de cloaca
W934,Rua e estrada
B91,Sequelas de poliomielite
D47,Out neop comp inc/des tec linf hemat tec cor
W042,Escolas outr instit areas admin publica
N119,Nefrite tubulo-intersticial cronica NE
M853,Osteite condensante
Y499,Subst psicotropica NE
B208,Doenc p/HIV result outr doenc infecc parasit
V36,Ocup tric mot traum colis outr veic n-motor
Q51,Malformacoes congen utero e do colo do utero
L750,Bromidrose
O746,Outr compl anest raquid perid trab part part
Q273,Malformacao arterio-venosa periferica
J350,Amigdalite cronica
F42,Transt obsessivo-compulsivo
Z947,Cornea transplantada
G711,Transt miotonicos
H06,Transt aparelho lacrimal orbita em doenc COP
C765,Membro infer
Y581,Vacinas antitifoidica e antiparafoidica
R940,Result anorm estudos funcao sist nerv centr
T45,Intox subst acao ess sist subst hematol NCOP
F00,Demencia na doenc de Alzheimer
V379,Ocup NE acid trans
D261,Corpo do utero
R072,Dor precordial
T492,Adstringentes e detergentes de uso local
A08,Infecc intestinais virais outr e as NE
H318,Outr transt espec da coroide
W297,Fazenda
A448,Outr form de bartonelose
Y163,Area p/a pratica de esportes e atletismo
E05,Tireotoxicose
Z014,Exame ginecologico
F101,Uso nocivo p/a saude
Z016,Exame radiologico NCOP
Q210,Comunicacao interventricular
E241,Sindr de Nelson
D106,Nasofaringe
S718,Ferim outr partes e das NE cintura pelvica
V712,Pessoa viajando ext veic acid n-trans
S057,Avulsao do olho
O658,Obstr trab parto dev outr anorm pelvicas mat
D619,Anemia aplastica NE
L302,Autossensibilizacao cutanea
D487,Outr localiz espec
A401,Septicemia p/Streptococcus do grupo B
B258,Outr doenc p/citomegalovirus
M908,Osteopatia em outr doenc COP
Z013,Exame da pressao arterial
Q727,Pe bifido
X549,Local NE
Y632,Superdosagem radiacao admin durante terapia
H605,Otite externa aguda nao-infecc
A529,Sifilis tard NE
R788,Presenc outr subst espec n norm encontr sang
D642,Anemia sideroblastic secund uso drogas toxin
X857,Fazenda
T12,Frat do membro infer nivel NE
P919,Disturbio NE da funcao cerebral rec-nasc
T483,Antitussigenos
M631,Miosite doenc infecc caus protoz parasit COP
Y475,Sedativos e hipnoticos em associacoes NCOP
V640,Condutor acid n-trans
R823,Hemoglobinuria
N87,Displasia do colo do utero
L038,Celulite de outr locais
X917,Fazenda
V100,Condutor em acid n-trans
I781,Nevo nao-neoplasico
G71,Transt prim dos musculos
P140,Paralisia de Erb dev traum de parto
S098,Outr traum espec da cabeca
B438,Outr form de cromomicose
Z359,Supervisao NE de gravidez de alto risco
E789,Disturbio NE do metabolismo de lipoproteinas
M358,Outr compr sistemico espec do tec conjuntivo
N163,Transt renais tubulo-interst doenc metab
Q600,Agenesia unilateral do rim
O664,Falha de tentativa de trabalho de parto NE
R89,Achados anorms mat prov outr org ap sist tec
A222,Carbunculo gastrointestinal
C843,Linfoma linfoepitelioide
X604,Rua e estrada
W07,Queda de uma cadeira
K029,Carie dentaria SOE
R402,Coma NE
A048,Outr infecc bacter intestinais espec
Y327,Fazenda
W703,Area p/a pratica de esportes e atletismo
W429,Local NE
G832,Monoplegia do membro super
N022,Glomerulonefrite membranosa difusa
Y447,Efeitos adversos de substitutos do plasma
W521,Habitacao coletiva
C03,Neopl malig da gengiva
X851,Habitacao coletiva
G900,Neuropatia autonomica periferica idiopatica
V294,Condutor colis outr veic NE mot acid trans
D596,Hemoglobinuria dev hemolise p/outr caus ext
M25,Outr transt articulares NCOP
V910,Navio mercante
R834,Achados imunologicos anormais
E012,Bocio NE p/defic de iodo
Q169,Malform congen ouvido NE caus compr audicao
F238,Outr transt psicoticos agudos e transitorios
N431,Hidrocele infectada
P599,Ictericia neonatal NE
X832,Escolas outr instit areas admin publica
X180,Residencia
Y434,Agentes imunossupressores
A770,Febre maculosa p/Rickettsia richettsii
G251,Tremor induz p/drogas
Z466,Colocacao e ajustamento de protese urinaria
Y425,Outr estrogenos e progestagenos
N895,Estreitamento e atresia da vagina
F984,Estereotipias motoras
R161,Esplenomegalia NCOP
Q208,Outr malform congen camaras e comunic card
D838,Outr imunodeficiencias comuns variaveis
D267,Outr partes do utero
G737,Miopatia em outr doenc COP
L871,Colagenose perfurante reativa
D559,Anemia dev transt enzimatico NE
K034,Hipercementose
W503,Area p/a pratica de esportes e atletismo
Q251,Coartacao da aorta
P749,Disturbio metabolico transitorio NE rec-nasc
W224,Rua e estrada
H609,Otite externa NE
Z522,Doador de osso
T851,Complic mec estim eletr implant sist nerv
G454,Amnesia global transitoria
S970,Lesao p/esmag do tornozelo
O321,Assist prestada a mae p/apresentacao pelvica
Q350,Fenda bilateral do palato duro
I841,Hemorroidas internas c/outr complic
K512,Proctite ulcerativa
R786,Presenca de agente esteroide no sangue
X162,Escolas outr instit areas admin publica
P570,Kernicterus dev isoimunizacao
B99,Doenc infecc outr e as NE
W322,Escolas outr instit areas admin publica
W017,Fazenda
A411,Septicemia p/outr estafilococos espec
Y029,Local NE
K032,Erosao dentaria
T931,Sequelas de frat do femur
Y573,Subst p/restringir a ingestao de alcool
A48,Outr doenc bacter NCOP
W206,Areas industriais e em construcao
S925,Frat de outr artelho
Z11,Exame esp rastr doenc infecc parasit
M543,Ciatica
X494,Rua e estrada
M922,Osteocondrose juvenil da mao
I792,Angiopatia periferica em doenc COP
S978,Lesao p/esmag outr partes do tornozelo e pe
L308,Outr dermatites espec
K256,Cronica ou NE c/hemorragia e perfuracao
V121,Passageiro em acid n-trans
W702,Escolas outr instit areas admin publica
E272,Crise addisoniana
Y553,Antitussicos
M929,Osteocondrose juvenil NE
W598,Outr locais espec
Z964,Presenca de implantes endocrinos
T933,Sequelas luxacao entorse distensao membr inf
L039,Celulite NE
W071,Habitacao coletiva
X460,Residencia
W490,Residencia
X984,Rua e estrada
V907,Esqui aquatico
F789,S/mencao de compr do comport
B00,Infecc p/virus do herpes
W253,Area p/a pratica de esportes e atletismo
X546,Areas industriais e em construcao
W891,Habitacao coletiva
S033,Luxacao de outr partes da cabeca e das NE
X682,Escolas outr instit areas admin publica
K715,Doenc hepatica toxica c/hepatite cron ativa
M951,Orelha em couve-flor
J387,Outr doenc da laringe
V740,Condutor acid n-trans
X538,Outr locais espec
V944,Barco a vela
S84,Traum de nervos perifericos da perna
I321,Pericardite outr doenc infecc e parasit COP
Y301,Habitacao coletiva
V499,Ocupante acid trans NE
E79,Disturbios metabolismo purina e pirimidina
Q06,Outr malformacoes congen da medula espinhal
N958,Outr transt espec menopausa e perimenopausa
X178,Outr locais espec
Q748,Outr malformacoes congen espec de membros
T502,Inib anidrase carb benzotiazidas outr diuret
R067,Espirro
D072,Vagina
